[Message:   BepInEx] BepInEx 5.4.23.2 - EscapeFromTarkov (5/2/2026 1:35:53 PM)
[Info   :   BepInEx] Running under Unity v0.16.9.4008
[Info   :   BepInEx] CLR runtime version: 4.0.30319.42000
[Info   :   BepInEx] Supports SRE: True
[Info   :   BepInEx] System platform: Bits64, Windows
[Message:   BepInEx] Preloader started
[Info   :   BepInEx] Loaded 1 patcher method from [BepInEx.Preloader 5.4.23.2]
[Info   :   BepInEx] Loaded 1 patcher method from [BlackDiv 1.0.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [FSO.NorvinskSection1.Prepatch 1.0.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [IcyClawz.CustomInteractions.Prepatch 1.8.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [MoreBotsPrepatch 1.0.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [RUAFComeHome 1.0.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [SkillsExtended_PrePatch 2.2.1.0]
[Info   :   BepInEx] Loaded 1 patcher method from [spt-prepatch 4.0.13.0]
[Info   :   BepInEx] Loaded 1 patcher method from [UNTARGHPrepatch 1.0.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [UnityToolkit-Prepatcher 0.0.0.0]
[Info   :   BepInEx] Loaded 1 patcher method from [WTT-ContentBackportPatcher 1.0.7.0]
[Info   :   BepInEx] 11 patcher plugins loaded
[Info   :   BepInEx] Patching [UnityEngine.CoreModule] with [BepInEx.Chainloader]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [BlackDiv.Prepatch.WildSpawnTypePatch]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [FSO.NorvinskSection1.Prepatch.WildSpawnTypePatch]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [IcyClawz.CustomInteractions.Prepatch]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [MoreBotsAPI.Prepatch.WildSpawnTypePatch]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [RUAFComeHome.Prepatch.WildSpawnTypePatch]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [SkillsExtendedPatcher]
[Info   :Skills Extended PrePatch] Patching Complete!
[Info   :   BepInEx] Patching [Assembly-CSharp] with [SPT.PrePatch.SPTPrePatcher]
[Info   :   BepInEx] Patching [System.Runtime.CompilerServices.Unsafe] with [UnityToolkit.Prepatcher.Patcher]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [Prepatch.Prepatches.CustomTypesPatch]
[Info   :   BepInEx] Patching [Assembly-CSharp] with [ContentBackportPatcher.EnvironmentUiTypePatch]
[Message:   BepInEx] Preloader finished
[Message:   BepInEx] Chainloader ready
[Message:   BepInEx] Chainloader started
[Info   :   BepInEx] 85 plugins to load
[Warning:   BepInEx] Skipping [MoreBotsAPI 2.0.1] because a newer version exists (MoreBotsAPI 2.0.1)
[Info   :   BepInEx] Loading [SPT.Custom 4.0.13]
[Info   :SPT.Custom] Loading: SPT.Custom
[Info   :ModulePatch] Enabled patch EasyAssetsPatch
[Info   :ModulePatch] Enabled patch EasyBundlePatch
[Info   :ModulePatch] Enabled patch GameStartRequestPatch
[Info   :ModulePatch] Enabled patch DisableNonHalloweenExitsDuringEventPatch
[Info   :ModulePatch] Enabled patch SendFleaListingTaxAmountToServerPatch
[Info   :ModulePatch] Enabled patch AddTraitorScavsPatch
[Info   :RequestHandler] [REQUEST]: /singleplayer/bosstypes
[Info   :RequestHandler] [REQUEST SUCCESSFUL] /singleplayer/bosstypes
[Info   :ModulePatch] Enabled patch CustomAiPatch
[Info   :ModulePatch] Enabled patch SaveSettingsToSptFolderPatch
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsSetInt
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsSetFloat
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsSetString
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsGetInt
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsGetFloat
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsGetString
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsHasKey
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsDeleteKey
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsDeleteAll
[Info   :ModulePatch] Enabled patch PatchPlayerPrefsSave
[Info   :ModulePatch] Enabled patch QTEPatch
[Info   :ModulePatch] Enabled patch RedirectClientImageRequestsPatch
[Info   :ModulePatch] Enabled patch DisableGameModeAdjustButtonPatch
[Info   :ModulePatch] Enabled patch FixPmcSpawnParamsNullErrorPatch
[Info   :ModulePatch] Enabled patch SetPreRaidSettingsScreenDefaultsPatch
[Info   :ModulePatch] Enabled patch CoreDifficultyPatch
[Info   :ModulePatch] Enabled patch BotDifficultyPatch
[Info   :ModulePatch] Enabled patch VersionLabelPatch
[Info   :ModulePatch] Enabled patch FixScavWarNullErrorWithMarkOfUnknownPatch
[Info   :ModulePatch] Enabled patch MergeScavPmcQuestsOnInventoryLoadPatch
[Info   :ModulePatch] Enabled patch CopyPmcQuestsAndWishlistToPlayerScavPatch
[Info   :ModulePatch] Enabled patch FixBossesHavingNoFollowersOnMediumAiAmount
[Info   :ModulePatch] Enabled patch FixAirdropCrashPatch
[Info   :ModulePatch] Enabled patch FixAirdropFlareDisposePatch
[Info   :ModulePatch] Enabled patch AllowAirdropsInPvEPatch
[Info   :ModulePatch] Enabled patch MemoryCollectionPatch
[Info   :ModulePatch] Enabled patch LocaleManagerRaceConditionFixPatch
[Info   :ModulePatch] Enabled patch AddOfferFilterHangPatch
[Info   :ModulePatch] Enabled patch FixPrecipitationAmbientBlenderNullRefPatch
[Info   :ModulePatch] Enabled patch EnablePrestigeTabPatch
[Info   :ModulePatch] Enabled patch MatchStartServerLocationPatch
[Info   :ModulePatch] Enabled patch SpawnPointAIPlayerBotLimitPatch
[Info   :ModulePatch] Enabled patch SpawnPointNearestPlayerAIPatch
